Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N),Placement(Y/N)?,Salary
imanimesh1210@gmail.com,Animesh Mahata,Male,CBSE,83.0,CBSE,88.0,Computer Science and Engineering,7.9,No,No,No,No,2,No,Placed,327216
rohan_kumar_rai22@gmail.com,Rohan Kumar Rai,Male,CBSE,92.3,CBSE,91.3,Computer Science in AIML,8.78,Yes,Yes,Yes,No,2,Yes,Not Placed,328243
kavya_iyer77@gmail.com,Kavya Iyer,Female,WBBSE,96.6,WBCHSE,85.0,Electrical Engineering,8.54,Yes,No,No,Yes,4,Yes,Placed,345963
ujjal_bardhan9@gmail.com,Ujjal Bardhan,Male,ICSE,71.3,WBCHSE,91.8,Mechanical Engineering,7.52,No,Yes,No,Yes,1,Yes,Placed,317773
samikmandal9@gmail.com,SAMIK MANDAL,Male,CBSE,79.0,CBSE,83.0,Computer Science and Design,9.21,No,No,No,No,4,Yes,Not Placed,346745
nayana_gupta89@gmail.com,Nayana Gupta,Female,CBSE,74.0,WBCHSE,92.0,Information Technology,7.34,Yes,Yes,No,Yes,4,Yes,Placed,344563
rajesh_sharma10@gmail.com,Rajesh Sharma,Male,ICSE,95.2,ISE,60.9,Mechanical Engineering,8.89,Yes,Yes,Yes,No,2,No,Not Placed,328371
dhrubosh@gmail.com,Dhrubojyoti Saha,Male,WBBSE,32.0,WBCHSE,59.83,Information Technology,9.2,No,No,No,Yes,2,Yes,Not Placed,328733
urmi_bera90@gmail.com,Urmi Bera,Female,State Board,96.1,CBSE,87.9,Mechanical Engineering,8.34,No,Yes,No,Yes,2,Yes,Placed,327730
dheeraj_kumar80@gmail.com,Dheeraj Kumar,Male,ICSE,97.5,ISE,62.3,Computer Science in Data Science,8.94,Yes,Yes,No,Yes,4,Yes,Not Placed,346430
riya_sinha96@gmail.com,Riya Sinha,Female,State Board,89.9,Other state Board,73.1,Electronics and Communication Engineering,7.24,No,No,No,Yes,3,No,Not Placed,335446
samik_dutta27@gmail.com,Samik Dutta,Male,CBSE,90.2,ISE,76.0,Information Technology,9.11,Yes,Yes,No,Yes,2,Yes,Placed,328628
radha_kumari58@gmail.com,Radha Kumari,Female,CBSE,85.4,Other state Board,91.7,Electronics and Communication Engineering,7.87,Yes,Yes,No,Yes,5,Yes,Not Placed,400000
ritika_choudhury18@gmail.com,Ritika Choudhury,Female,ICSE,92.1,ISE,83.0,Information Technology,7.49,No,No,No,Yes,2,Yes,Placed,326738
ipshita_bhattacharya60@gmail.com,Ipshita Bhattacharya,Female,CBSE,74.7,CBSE,93.1,Computer Science and Engineering,8.11,Yes,Yes,No,Yes,3,No,Not Placed,336461
sunilgarai210@gmail.com,Sunil Garai,Male,WBBSE,47.0,WBCHSE,88.0,Electrical Engineering,7.9,Yes,Yes,Yes,Yes,3,Yes,Placed,336216
pooja_chauhan10@gmail.com,Pooja Chauhan,Female,CBSE,93.4,Other state Board,88.0,Civil Engineering,8.49,No,No,No,Yes,2,Yes,Placed,327905
anisha_ghosh17@gmail.com,Anisha Ghosh,Female,State Board,97.5,WBCHSE,60.3,Computer Science and Design,9.29,Yes,No,No,Yes,1,Yes,Placed,319838
milankamilya5501@gmail.com,Milan Kamilya,Male,WBBSE,91.0,WBCHSE,87.0,Computer Science and Design,8.2,Yes,Yes,Yes,Yes,3,No,Placed,336566
mita_dutta42@gmail.com,Mita Dutta,Female,ICSE,74.3,Other state Board,93.1,Mechanical Engineering,8.36,No,No,No,Yes,5,Yes,Placed,400000
nishant_mandal90@gmail.com,Nishant Mandal,Male,ICSE,99.8,ISE,80.8,Computer Science in Data Science,8.26,Yes,No,No,Yes,3,Yes,Placed,336636
debika_mazumdar69@gmail.com,Debika Mazumdar,Female,CBSE,70.7,Other state Board,62.2,Mechanical Engineering,8.2,No,No,No,Yes,5,Yes,Placed,400000
neeraj_verma56@gmail.com,Neeraj Verma,Male,State Board,95.4,CBSE,79.0,Chemical Engineering,7.96,Yes,Yes,No,Yes,5,Yes,Placed,400000
payal_sengupta31@gmail.com,Payal Sengupta,Female,WBBSE,88.4,Other state Board,83.4,Computer Science and Design,7.4,No,Yes,No,Yes,1,Yes,Not Placed,317633
arnav_sen56@gmail.com,Arnav Sen,Male,WBBSE,89.5,ISE,79.9,Computer Science and Engineering,8.41,Yes,No,Yes,No,5,No,Not Placed,400000
nikhil_rana90@gmail.com,Nikhil Rana,Male,State Board,72.2,Other state Board,80.5,Chemical Engineering,9.28,No,No,No,No,2,Yes,Not Placed,328826
anupam_mitra99@gmail.com,Anupam Mitra,Male,WBBSE,87.5,WBCHSE,72.9,Computer Science and Engineering,8.18,Yes,No,No,No,3,No,Not Placed,336543
prakash_pandey63@gmail.com,Prakash Pandey,Male,State Board,75.2,ISE,85.5,Computer Science in Data Science,8.18,Yes,Yes,No,No,1,No,Not Placed,318543
abhirup_mazumdar30@gmail.com,Abhirup Mazumdar,Male,ICSE,87.4,WBCHSE,91.4,Electronics and Communication Engineering,8.41,Yes,No,Yes,Yes,1,Yes,Not Placed,318811
bikram_pal7@gmail.com,Bikram Pal,Male,ICSE,98.3,Other state Board,94.7,Information Technology,8.52,Yes,No,No,Yes,1,Yes,Placed,318940
rajiv_mandal78@gmail.com,Rajiv Mandal,Male,ICSE,85.2,Other state Board,80.7,Information Technology,7.69,No,No,No,Yes,1,Yes,Placed,317971
amit_sinha11@gmail.com,Amit Sinha,Male,State Board,86.6,Other state Board,81.3,Electrical and Electronics Engineering,7.15,No,Yes,Yes,No,5,No,Not Placed,353341
sunil_singh27@gmail.com,Sunil Singh,Male,ICSE,94.1,ISE,62.8,Mechanical Engineering,7.55,No,Yes,No,Yes,5,Yes,Placed,353808
ranjangiri8500@gmail.com,Ranjan Giri,Male,WBBSE,79.4,WBCHSE,79.4,Information Technology,9.34,No,Yes,No,Yes,2,No,Not Placed,328896
ujjal_sengupta98@gmail.com,Ujjal Sengupta,Male,WBBSE,95.1,Other state Board,81.7,Computer Science in Data Science,8.08,Yes,No,No,Yes,1,Yes,Not Placed,318426
sohini_mishra17@gmail.com,Sohini Mishra,Female,ICSE,72.0,Other state Board,90.5,Electronics and Communication Engineering,9.21,No,Yes,No,Yes,1,Yes,Placed,319745
jaya_mukherjee94@gmail.com,Jaya Mukherjee,Female,CBSE,84.5,WBCHSE,87.4,Chemical Engineering,7.67,No,No,No,Yes,5,Yes,Placed,353948
suvankar_dey96@gmail.com,Suvankar Dey,Male,WBBSE,75.7,Other state Board,80.6,Electronics and Communication Engineering,7.35,Yes,No,No,Yes,4,Yes,Placed,344575
indrajit_chakraborty6@gmail.com,Indrajit Chakraborty,Male,CBSE,91.7,WBCHSE,91.9,Chemical Engineering,7.14,Yes,No,No,No,2,Yes,Not Placed,326330
sneha_kumari79@gmail.com,Sneha Kumari,Female,ICSE,82.8,Other state Board,89.8,Electrical Engineering,8.45,Yes,Yes,No,Yes,3,Yes,Not Placed,336858
ananya_choudhary92@gmail.com,Ananya Choudhary,Female,State Board,80.2,CBSE,74.7,Computer Science and Engineering,8.82,Yes,Yes,Yes,No,2,Yes,Not Placed,328290
debika_chauhan67@gmail.com,Debika Chauhan,Female,ICSE,92.7,CBSE,82.1,Electrical and Electronics Engineering,8.88,Yes,Yes,Yes,No,1,Yes,Not Placed,319360
mita_bera69@gmail.com,Mita Bera,Female,CBSE,82.9,Other state Board,86.1,Mechanical Engineering,9.23,No,Yes,No,No,4,Yes,Not Placed,346768
sunil_sharma33@gmail.com,Sunil Sharma,Male,State Board,85.7,Other state Board,63.6,Electrical Engineering,9.02,Yes,No,No,Yes,4,Yes,Placed,346523
koushiki_das41@gmail.com,Koushiki Das,Female,CBSE,87.5,Other state Board,87.3,Electronics and Communication Engineering,7.23,Yes,Yes,No,No,3,No,Not Placed,335435
nikhil_chauhan98@gmail.com,Nikhil Chauhan,Male,ICSE,95.6,CBSE,94.0,Electrical and Electronics Engineering,8.21,No,Yes,No,No,5,No,Not Placed,400000
amit_das69@gmail.com,Amit Das,Male,ICSE,77.6,ISE,84.6,Mechanical Engineering,9.12,No,Yes,Yes,No,2,No,Not Placed,328640
kavya_chakraborty27@gmail.com,Kavya Chakraborty,Female,CBSE,79.7,Other state Board,91.5,Computer Science and Design,9.21,Yes,Yes,No,No,2,Yes,Not Placed,328745
sneha_pandey6@gmail.com,Sneha Pandey,Female,WBBSE,82.0,Other state Board,75.9,Electrical and Electronics Engineering,7.6,No,Yes,No,Yes,1,Yes,Placed,317866
anisha_goswami29@gmail.com,Anisha Goswami,Female,WBBSE,70.7,ISE,77.4,Civil Engineering,8.22,No,No,No,No,2,Yes,Not Placed,327590
smita_bhat82@gmail.com,Smita Bhat,Female,CBSE,77.3,CBSE,91.4,Computer Science in AIML,8.92,Yes,No,No,Yes,3,Yes,Placed,337406
ayesha_kumari81@gmail.com,Ayesha Kumari,Female,ICSE,81.0,CBSE,79.8,Electrical Engineering,8.1,No,Yes,No,Yes,2,No,Not Placed,327450
subhash_paul83@gmail.com,Subhash Paul,Male,CBSE,82.9,ISE,71.8,Mechanical Engineering,7.46,No,No,Yes,Yes,4,No,Not Placed,344703
arpita_choudhary4@gmail.com,Arpita Choudhary,Female,CBSE,76.2,Other state Board,74.8,Electronics and Communication Engineering,9.04,Yes,No,No,No,4,No,Not Placed,346546
manish_sah34@gmail.com,Manish Sah,Male,ICSE,83.6,Other state Board,70.9,Computer Science and Engineering,8.95,No,No,No,Yes,2,Yes,Placed,328441
payal_bardhan57@gmail.com,Payal Bardhan,Female,ICSE,78.7,Other state Board,62.5,Mechanical Engineering,9.16,Yes,Yes,Yes,No,3,No,Not Placed,337686
debanshu_pal54@gmail.com,Debanshu Pal,Male,State Board,78.6,ISE,86.9,Electrical Engineering,8.23,No,Yes,Yes,Yes,1,Yes,Not Placed,318601
madhuri_jha17@gmail.com,Madhuri Jha,Female,CBSE,88.1,ISE,82.6,Chemical Engineering,7.1,Yes,Yes,No,Yes,4,Yes,Placed,344283
jyoti_modi10@gmail.com,Jyoti Modi,Female,State Board,85.5,Other state Board,82.4,Computer Science and Engineering,7.49,No,No,No,Yes,1,Yes,Placed,317738
chatterjeeraunak2k@gmail.com,Raunak Chatterjee,Male,ICSE,91.8,CISCE,88.5,Computer Science and Engineering,9.48,No,No,Yes,Yes,3,Yes,Placed,338060
ishika_paul88@gmail.com,Ishika Paul,Female,WBBSE,73.2,WBCHSE,65.0,Computer Science and Engineering,7.79,No,No,No,Yes,4,Yes,Placed,345088
ayesha_mukherjee97@gmail.com,Ayesha Mukherjee,Female,CBSE,99.9,ISE,86.4,Electrical Engineering,9.16,Yes,No,No,Yes,3,Yes,Placed,337686
payal_paul96@gmail.com,Payal Paul,Female,CBSE,77.5,WBCHSE,69.0,Civil Engineering,8.3,No,No,No,Yes,4,No,Not Placed,345683
ipshita_mukherjee52@gmail.com,Ipshita Mukherjee,Female,WBBSE,83.7,WBCHSE,91.0,Electronics and Communication Engineering,7.11,No,Yes,No,No,4,Yes,Not Placed,344295
ishani_srivastava88@gmail.com,Ishani Srivastava,Female,ICSE,91.7,CBSE,68.9,Computer Science and Design,8.34,No,Yes,No,No,2,No,Not Placed,327730
debjit_sen92@gmail.com,Debjit Sen,Male,WBBSE,72.4,ISE,80.6,Electronics and Communication Engineering,9.16,Yes,No,No,Yes,2,Yes,Placed,328686
anjali_bhattacharya70@gmail.com,Anjali Bhattacharya,Female,WBBSE,70.8,Other state Board,65.1,Electrical and Electronics Engineering,8.64,No,Yes,No,Yes,3,No,Not Placed,337080
sunil_yadav15@gmail.com,Sunil Yadav,Male,ICSE,82.9,ISE,87.3,Electrical and Electronics Engineering,8.49,No,Yes,No,Yes,2,Yes,Placed,327905
jaya_pandey38@gmail.com,Jaya Pandey,Female,CBSE,84.8,Other state Board,92.8,Electrical Engineering,7.01,No,No,No,Yes,2,Yes,Placed,326178
bikram_chakraborty20@gmail.com,Bikram Chakraborty,Male,ICSE,99.8,CBSE,63.7,Civil Engineering,9.35,No,Yes,No,No,3,No,Not Placed,337908
ayesha_dey24@gmail.com,Ayesha Dey,Female,State Board,70.6,Other state Board,70.7,Electronics and Communication Engineering,8.43,Yes,Yes,No,Yes,1,Yes,Placed,318835
anand_kumar5@gmail.com,Anand Kumar,Male,State Board,91.2,Other state Board,73.3,Electrical and Electronics Engineering,8.49,Yes,No,No,Yes,5,Yes,Placed,400000
kaushik_kar45@gmail.com,Kaushik Kar,Male,State Board,80.5,CBSE,68.6,Electronics and Communication Engineering,7.28,No,No,Yes,Yes,2,No,Not Placed,326493
piyali_goswami71@gmail.com,Piyali Goswami,Female,CBSE,70.9,ISE,94.8,Electronics and Communication Engineering,8.8,Yes,No,No,Yes,1,Yes,Not Placed,319266
mita_mahato27@gmail.com,Mita Mahato,Female,WBBSE,97.0,WBCHSE,88.6,Chemical Engineering,8.24,No,Yes,No,Yes,4,Yes,Placed,345613
sneha_rao2@gmail.com,Sneha Rao,Female,CBSE,88.3,Other state Board,78.4,Electronics and Communication Engineering,7.61,Yes,Yes,No,No,5,No,Not Placed,353878
rohan_mitra72@gmail.com,Rohan Mitra,Male,WBBSE,88.7,WBCHSE,83.6,Computer Science and Engineering,7.27,No,Yes,No,Yes,5,Yes,Placed,353481
anisha_kar28@gmail.com,Anisha Kar,Female,CBSE,85.3,CBSE,76.4,Electronics and Communication Engineering,9.25,No,No,No,Yes,4,No,Not Placed,346791
deysumant150@gmail.com,SUMANT KUMAR DEY,Male,State Board,59.0,Other state Board,55.0,Electrical Engineering,7.93,No,Yes,Yes,Yes,3,No,Placed,336251
madhurima_mukherjee53@gmail.com,Madhurima Mukherjee,Female,State Board,87.1,CBSE,87.0,Computer Science and Design,8.68,Yes,No,No,Yes,5,Yes,Placed,400000
nikhil_pathak24@gmail.com,Nikhil Pathak,Male,State Board,96.5,Other state Board,80.9,Information Technology,8.27,Yes,No,No,No,1,Yes,Not Placed,318648
debanshu_ghosh46@gmail.com,Debanshu Ghosh,Male,State Board,91.0,Other state Board,86.1,Electrical Engineering,8.82,No,Yes,No,Yes,2,Yes,Placed,328290
indira_roy69@gmail.com,Indira Roy,Female,CBSE,81.8,ISE,63.5,Electronics and Communication Engineering,7.04,Yes,Yes,Yes,No,4,Yes,Not Placed,344213
unk5659@gmail.com,Utkarsh Nandkumar koshti,Male,State Board,73.0,Other state Board,84.0,Computer Science and Engineering,7.12,No,Yes,No,No,3,Yes,Not Placed,335306
shreya_rajput89@gmail.com,Shreya Rajput,Female,ICSE,76.4,Other state Board,66.2,Computer Science and Engineering,8.66,Yes,Yes,No,No,2,Yes,Not Placed,328103
trisha_dutta92@gmail.com,Trisha Dutta,Female,ICSE,83.9,WBCHSE,93.5,Chemical Engineering,8.13,No,Yes,Yes,Yes,5,No,Not Placed,400000
nayana_rao35@gmail.com,Nayana Rao,Female,State Board,90.5,Other state Board,83.1,Computer Science in Data Science,8.27,Yes,No,Yes,No,3,Yes,Not Placed,336648
debika_rao29@gmail.com,Debika Rao,Female,ICSE,94.0,CBSE,74.7,Civil Engineering,8.71,No,No,Yes,No,4,No,Not Placed,346161
nikhil_jha10@gmail.com,Nikhil Jha,Male,CBSE,85.9,ISE,76.9,Electronics and Communication Engineering,8.85,Yes,Yes,No,Yes,5,Yes,Placed,400000
naira_singhania72@gmail.com,Naira Singhania,Female,WBBSE,98.5,WBCHSE,69.8,Computer Science and Engineering,8.47,No,No,No,Yes,2,Yes,Not Placed,327881
pawan_dev38@gmail.com,Pawan Dev,Male,ICSE,90.6,Other state Board,64.2,Computer Science and Engineering,7.09,No,Yes,Yes,No,1,No,Not Placed,317271
simran.sagar08@gmail.com,Simran,Female,CBSE,97.2,CBSE,96.4,Computer Science and Engineering,8.26,Yes,Yes,Yes,Yes,3,Yes,Not Placed,336636
aparna_banerjee47@gmail.com,Aparna Banerjee,Female,WBBSE,89.2,WBCHSE,89.7,Computer Science and Design,8.33,Yes,No,Yes,No,2,No,Not Placed,327718
naira_rao84@gmail.com,Naira Rao,Female,State Board,97.6,Other state Board,87.5,Electrical and Electronics Engineering,9.17,Yes,Yes,No,No,1,No,Not Placed,319698
nikhil_kumar35@gmail.com,Nikhil Kumar,Male,CBSE,84.2,Other state Board,88.0,Computer Science and Design,8.11,Yes,Yes,No,Yes,4,Yes,Placed,345461
rina_bera51@gmail.com,Rina Bera,Female,CBSE,82.8,CBSE,61.9,Computer Science in AIML,8.57,Yes,No,No,Yes,2,Yes,Placed,327998
radha_yadav68@gmail.com,Radha Yadav,Female,CBSE,72.6,Other state Board,62.6,Electronics and Communication Engineering,8.04,No,No,No,Yes,5,Yes,Not Placed,400000
ananya_ghosh95@gmail.com,Ananya Ghosh,Female,State Board,91.0,ISE,91.8,Chemical Engineering,7.39,Yes,Yes,No,No,1,Yes,Not Placed,317621
mandira_kar78@gmail.com,Mandira Kar,Female,CBSE,82.8,ISE,85.0,Computer Science in Data Science,7.51,No,No,Yes,Yes,4,No,Not Placed,344761
dipankar_ghosh62@gmail.com,Dipankar Ghosh,Male,State Board,75.4,ISE,83.1,Computer Science in Data Science,7.77,No,Yes,No,Yes,4,Yes,Placed,345065
vikas_kumar81@gmail.com,Vikas Kumar,Male,ICSE,90.8,ISE,74.7,Electronics and Communication Engineering,7.32,Yes,Yes,No,No,4,No,Not Placed,344540
mukesh_sharma85@gmail.com,Mukesh Sharma,Male,State Board,93.0,Other state Board,66.4,Mechanical Engineering,7.4,No,Yes,No,Yes,4,No,Not Placed,344633
khusi_srivastava13@gmail.com,Khusi Srivastava,Female,ICSE,78.3,ISE,92.5,Computer Science and Engineering,8.01,Yes,Yes,No,No,2,No,Not Placed,327345
piyali_mitra89@gmail.com,Piyali Mitra,Female,ICSE,74.1,CBSE,80.1,Electronics and Communication Engineering,7.12,Yes,No,No,Yes,4,Yes,Placed,344306
anand_pandey50@gmail.com,Anand Pandey,Male,State Board,78.4,ISE,81.6,Computer Science and Engineering,8.77,Yes,No,No,Yes,1,Yes,Placed,319231
urmi_srivastava15@gmail.com,Urmi Srivastava,Female,State Board,70.5,WBCHSE,63.9,Electronics and Communication Engineering,7.54,Yes,Yes,No,Yes,5,Yes,Placed,353796
abhijit_chakrabarti23@gmail.com,Abhijit Chakrabarti,Male,State Board,86.7,WBCHSE,71.4,Electronics and Communication Engineering,8.82,Yes,Yes,No,Yes,1,Yes,Placed,319290
rajiv_chakrabarti53@gmail.com,Rajiv Chakrabarti,Male,CBSE,95.0,CBSE,93.2,Computer Science in AIML,7.21,No,No,No,Yes,4,Yes,Placed,344411
vikram_banerjee32@gmail.com,Vikram Banerjee,Male,WBBSE,84.5,Other state Board,67.0,Electrical and Electronics Engineering,7.2,Yes,Yes,Yes,No,5,No,Not Placed,353400
ayush_mahto90@gmail.com,Ayush Mahto,Male,ICSE,76.8,ISE,82.0,Computer Science and Engineering,7.79,Yes,No,No,Yes,4,Yes,Placed,345088
osasish143@gmail.com,Asish Bauri,Male,ICSE,90.8,CBSE,92.0,Computer Science and Engineering,9.94,Yes,No,Yes,Yes,4,No,Placed,347596
smita_kapoor11@gmail.com,Smita Kapoor,Female,WBBSE,73.1,CBSE,66.3,Computer Science and Engineering,8.83,Yes,No,No,Yes,2,Yes,Placed,328301
smita_gupta88@gmail.com,Smita Gupta,Female,CBSE,93.2,CBSE,89.0,Civil Engineering,8.13,Yes,Yes,No,Yes,5,Yes,Placed,400000
payal_iyer92@gmail.com,Payal Iyer,Female,State Board,81.8,ISE,74.5,Computer Science and Engineering,9.39,No,No,No,Yes,1,Yes,Placed,319955
ipshita_kar72@gmail.com,Ipshita Kar,Female,WBBSE,86.5,WBCHSE,93.4,Computer Science and Design,8.8,No,No,Yes,Yes,5,Yes,Not Placed,400000
anupam_biswas61@gmail.com,Anupam Biswas,Male,CBSE,85.5,Other state Board,62.3,Electrical and Electronics Engineering,7.99,No,No,Yes,Yes,5,Yes,Not Placed,400000
khusi_chakraborty23@gmail.com,Khusi Chakraborty,Female,WBBSE,86.6,Other state Board,71.3,Information Technology,7.65,Yes,No,No,Yes,3,Yes,Placed,335925
bharat_pathak45@gmail.com,Bharat Pathak,Male,ICSE,99.2,CBSE,73.4,Information Technology,8.3,Yes,Yes,No,Yes,5,No,Not Placed,400000
kunal_chakraborty15@gmail.com,Kunal Chakraborty,Male,ICSE,85.1,WBCHSE,87.3,Electronics and Communication Engineering,7.9,Yes,No,Yes,Yes,5,No,Not Placed,400000
dev_bera78@gmail.com,Dev Bera,Male,WBBSE,98.9,WBCHSE,78.6,Computer Science and Engineering,9.55,No,No,No,Yes,3,Yes,Not Placed,338141
8348365251.puru@gmail.com,Purnima Rai,Female,ICSE,95.0,ISC,93.0,Mechanical Engineering,8.2,Yes,No,Yes,Yes,3,Yes,Placed,336566
ananya_chatterjee99@gmail.com,Ananya Chatterjee,Female,ICSE,84.3,CBSE,90.0,Computer Science in Data Science,7.0,No,Yes,No,Yes,4,Yes,Placed,344166
anjali_srivastava96@gmail.com,Anjali Srivastava,Female,ICSE,90.3,ISE,83.9,Chemical Engineering,9.36,Yes,Yes,No,Yes,1,Yes,Placed,319920
tanushree_chakraborty89@gmail.com,Tanushree Chakraborty,Female,State Board,87.3,Other state Board,60.3,Mechanical Engineering,7.17,No,No,No,Yes,2,Yes,Placed,326365
saurabh_das26@gmail.com,Saurabh Das,Male,ICSE,74.6,Other state Board,88.0,Computer Science in Data Science,9.08,Yes,No,No,Yes,1,Yes,Placed,319593
nayanika_shukla32@gmail.com,Nayanika Shukla,Female,WBBSE,82.4,Other state Board,92.5,Mechanical Engineering,9.32,Yes,Yes,No,Yes,4,Yes,Placed,346873
jyoti_chauhan47@gmail.com,Jyoti Chauhan,Female,ICSE,85.0,CBSE,87.7,Computer Science and Engineering,8.2,Yes,Yes,No,Yes,5,Yes,Placed,400000
nisha_pal33@gmail.com,Nisha Pal,Female,CBSE,80.2,WBCHSE,92.4,Mechanical Engineering,8.94,Yes,No,No,Yes,5,Yes,Placed,400000
dev_bhowmick65@gmail.com,Dev Bhowmick,Male,CBSE,84.0,ISE,83.9,Information Technology,8.97,Yes,Yes,No,Yes,5,Yes,Placed,400000
bharat_verma79@gmail.com,Bharat Verma,Male,CBSE,75.9,Other state Board,85.6,Mechanical Engineering,9.59,No,Yes,No,Yes,2,Yes,Placed,329188
anjali_das43@gmail.com,Anjali Das,Female,ICSE,96.0,ISE,94.0,Information Technology,9.25,Yes,No,No,Yes,1,Yes,Placed,319791
soumikgooo7@gmail.com,Soumik Goswami,Male,CBSE,89.3,CBSE,81.4,Information Technology,9.2,No,Yes,Yes,Yes,2,Yes,Placed,328733
amit_mahto77@gmail.com,Amit Mahto,Male,CBSE,99.0,Other state Board,84.0,Chemical Engineering,7.77,No,Yes,No,Yes,5,Yes,Placed,400000
rakesh_jha37@gmail.com,Rakesh Jha,Male,CBSE,85.2,CBSE,90.1,Electrical and Electronics Engineering,7.0,No,Yes,No,Yes,4,Yes,Placed,344166
its.amitb77@gmail.com,Amit Banerjee,Male,WBBSE,90.0,WBCHSE,89.0,Computer Science and Engineering,9.6,Yes,Yes,Yes,Yes,2,Yes,Placed,329200
khusi_bera5@gmail.com,Khusi Bera,Female,WBBSE,74.0,WBCHSE,81.4,Electrical Engineering,7.14,No,Yes,Yes,No,5,Yes,Not Placed,353330
mandira_srivastava55@gmail.com,Mandira Srivastava,Female,CBSE,81.2,CBSE,71.9,Information Technology,7.17,No,No,No,Yes,5,Yes,Placed,353365
rajesh_thakur98@gmail.com,Rajesh Thakur,Male,CBSE,80.3,Other state Board,87.7,Electronics and Communication Engineering,9.09,Yes,No,No,Yes,5,Yes,Placed,400000
kaushik_chatterjee32@gmail.com,Kaushik Chatterjee,Male,ICSE,97.6,CBSE,85.1,Civil Engineering,7.11,Yes,No,Yes,No,2,Yes,Not Placed,326295
shivaninadgire@gmail.com,Nadgire Shivani,Female,State Board,87.2,MSBTE,82.4,Electronic Engineering,7.8,No,Yes,No,No,2,Yes,Not Placed,327100
abhijit_sarkar27@gmail.com,Abhijit Sarkar,Male,ICSE,89.3,WBCHSE,90.7,Information Technology,9.49,Yes,No,Yes,Yes,5,No,Not Placed,400000
suvankar_ghosh46@gmail.com,Suvankar Ghosh,Male,State Board,86.7,CBSE,72.0,Computer Science and Engineering,7.27,Yes,Yes,No,Yes,4,Yes,Placed,344481
kavya_sengupta20@gmail.com,Kavya Sengupta,Female,CBSE,89.0,ISE,93.8,Information Technology,8.33,Yes,Yes,Yes,Yes,3,Yes,Not Placed,336718
rohan_pandey58@gmail.com,Rohan Pandey,Male,State Board,85.2,CBSE,88.2,Computer Science and Engineering,8.02,Yes,No,No,Yes,5,Yes,Placed,400000
sanjana_sen32@gmail.com,Sanjana Sen,Female,ICSE,88.0,WBCHSE,64.6,Electronics and Communication Engineering,9.37,Yes,No,Yes,No,2,Yes,Not Placed,328931
urmi_biswas99@gmail.com,Urmi Biswas,Female,WBBSE,73.0,WBCHSE,75.9,Electronics and Communication Engineering,7.1,No,Yes,No,Yes,3,Yes,Placed,335283
trisha_sharma9@gmail.com,Trisha Sharma,Female,State Board,96.0,ISE,85.6,Electronics and Communication Engineering,7.19,Yes,No,Yes,Yes,3,No,Not Placed,335388
poulami_chakraborty52@gmail.com,Poulami Chakraborty,Female,WBBSE,78.4,WBCHSE,66.8,Computer Science and Engineering,8.03,No,No,No,No,2,No,Not Placed,327368
ayesha_kar40@gmail.com,Ayesha Kar,Female,CBSE,71.7,CBSE,74.4,Mechanical Engineering,8.43,No,No,No,Yes,1,No,Not Placed,318835
nisha_bhowmick6@gmail.com,Nisha Bhowmick,Female,CBSE,93.0,ISE,62.5,Electrical Engineering,9.01,Yes,No,No,Yes,2,Yes,Placed,328511
ayush_kumar_rai64@gmail.com,Ayush Kumar Rai,Male,CBSE,72.8,Other state Board,94.7,Electrical Engineering,8.09,No,Yes,No,Yes,3,Yes,Placed,336438
manoj_mitra16@gmail.com,Manoj Mitra,Male,State Board,96.8,Other state Board,65.8,Electrical Engineering,7.58,No,Yes,No,No,2,No,Not Placed,326843
khusi_srivastava38@gmail.com,Khusi Srivastava,Female,ICSE,93.2,CBSE,82.0,Computer Science in AIML,8.4,Yes,Yes,Yes,No,1,No,Not Placed,318800
urmi_sarkar87@gmail.com,Urmi Sarkar,Female,ICSE,84.7,CBSE,67.1,Electronics and Communication Engineering,8.62,Yes,No,No,No,2,No,Not Placed,328056
indira_kumari47@gmail.com,Indira Kumari,Female,WBBSE,70.1,Other state Board,82.2,Computer Science in Data Science,8.11,No,Yes,Yes,No,3,Yes,Not Placed,336461
dipankar_mahato14@gmail.com,Dipankar Mahato,Male,CBSE,92.8,Other state Board,68.2,Electronics and Communication Engineering,8.24,Yes,Yes,No,Yes,3,Yes,Placed,336613
niloy_dutta68@gmail.com,Niloy Dutta,Male,ICSE,97.2,CBSE,78.6,Electrical and Electronics Engineering,8.69,Yes,No,Yes,No,1,No,Not Placed,319138
joy_banerjee17@gmail.com,Joy Banerjee,Male,ICSE,99.5,CBSE,77.5,Electronics and Communication Engineering,7.07,Yes,Yes,Yes,Yes,2,No,Not Placed,326248
ishika_kapoor91@gmail.com,Ishika Kapoor,Female,ICSE,99.3,ISE,73.8,Computer Science in AIML,7.56,No,Yes,No,Yes,3,Yes,Placed,335820
anand_kumar55@gmail.com,Anand Kumar,Male,State Board,81.7,ISE,84.4,Computer Science and Engineering,7.75,Yes,Yes,Yes,Yes,4,No,Not Placed,345041
sanjana_kumari17@gmail.com,Sanjana Kumari,Female,State Board,99.5,ISE,83.2,Civil Engineering,7.68,No,No,Yes,Yes,5,No,Not Placed,353960
